utterance,emotion,clean_text,tokens
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
You told me this wouldn't hurt!,angry,you told me this wouldnt hurt,"['you', 'told', 'me', 'this', 'wouldnt', 'hurt']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
You told me this wouldn't hurt!,angry,you told me this wouldnt hurt,"['you', 'told', 'me', 'this', 'wouldnt', 'hurt']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I am not paying for a mistake you made.,angry,i am not paying for a mistake you made,"['i', 'am', 'not', 'paying', 'for', 'a', 'mistake', 'you', 'made']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
You told me this wouldn't hurt!,angry,you told me this wouldnt hurt,"['you', 'told', 'me', 'this', 'wouldnt', 'hurt']"
This is unacceptable.,angry,this is unacceptable,"['this', 'is', 'unacceptable']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
You call this professional work?,angry,you call this professional work,"['you', 'call', 'this', 'professional', 'work']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I'm about to go to a different clinic if this continues.,angry,im about to go to a different clinic if this continues,"['im', 'about', 'to', 'go', 'to', 'a', 'different', 'clinic', 'if', 'this', 'continues']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
Your receptionist was incredibly rude to me.,angry,your receptionist was incredibly rude to me,"['your', 'receptionist', 'was', 'incredibly', 'rude', 'to', 'me']"
You call this professional work?,angry,you call this professional work,"['you', 'call', 'this', 'professional', 'work']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
You call this professional work?,angry,you call this professional work,"['you', 'call', 'this', 'professional', 'work']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Why wasn't I told about this charge earlier?,angry,why wasnt i told about this charge earlier,"['why', 'wasnt', 'i', 'told', 'about', 'this', 'charge', 'earlier']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I've been waiting for an hour this is ridiculous.,angry,ive been waiting for an hour this is ridiculous,"['ive', 'been', 'waiting', 'for', 'an', 'hour', 'this', 'is', 'ridiculous']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I am extremely unhappy with this service.,angry,i am extremely unhappy with this service,"['i', 'am', 'extremely', 'unhappy', 'with', 'this', 'service']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
You told me this wouldn't hurt!,angry,you told me this wouldnt hurt,"['you', 'told', 'me', 'this', 'wouldnt', 'hurt']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
When did you say the next appointment was?,neutral,when did you say the next appointment was,"['when', 'did', 'you', 'say', 'the', 'next', 'appointment', 'was']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
Why wasn't I told about this charge earlier?,angry,why wasnt i told about this charge earlier,"['why', 'wasnt', 'i', 'told', 'about', 'this', 'charge', 'earlier']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Do I need to come back next week?,neutral,do i need to come back next week,"['do', 'i', 'need', 'to', 'come', 'back', 'next', 'week']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
I noticed some bleeding when I floss.,neutral,i noticed some bleeding when i floss,"['i', 'noticed', 'some', 'bleeding', 'when', 'i', 'floss']"
I'm about to go to a different clinic if this continues.,angry,im about to go to a different clinic if this continues,"['im', 'about', 'to', 'go', 'to', 'a', 'different', 'clinic', 'if', 'this', 'continues']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I have been feeling some pressure here.,neutral,i have been feeling some pressure here,"['i', 'have', 'been', 'feeling', 'some', 'pressure', 'here']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
Why wasn't I told about this charge earlier?,angry,why wasnt i told about this charge earlier,"['why', 'wasnt', 'i', 'told', 'about', 'this', 'charge', 'earlier']"
I'll take the prescription to the pharmacy.,neutral,ill take the prescription to the pharmacy,"['ill', 'take', 'the', 'prescription', 'to', 'the', 'pharmacy']"
I am extremely unhappy with this service.,angry,i am extremely unhappy with this service,"['i', 'am', 'extremely', 'unhappy', 'with', 'this', 'service']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
